Row Labels,Classic ,Docked,Electric,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Grand Total,,
casual,19806,4928,45004,69738,,casual,0:29:37,0:23:51,0:22:23,0:23:11,0:22:22,0:21:53,0:22:40,0:23:30,,casual,8437,7733,6239,10704,12586,12954,11085,69738,,
member,80829,,96973,177802,,member,0:11:57,0:10:51,0:10:46,0:10:28,0:10:57,0:10:56,0:11:52,0:11:00,,member,15396,22485,22147,34038,35181,29484,19071,177802,,
Grand Total,100635,4928,141977,247540,,Grand Total,0:18:12,0:14:11,0:13:19,0:13:31,0:13:57,0:14:17,0:15:50,0:14:31,,Grand Total,23833,30218,28386,44742,47767,42438,30156,247540,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider/Month,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,
Casual,18117,10131,84033,136601,256916,370681,442056,412671,363890,257242,106929,69738,2529005,Casual,,,,,,,,,,,,
Member,78717,39491,144463,200629,274717,358914,380354,391681,392257,373984,253049,177802,3066058,Member,,,,,,,,,,,,
Total,96834,49622,228496,337230,531633,729595,822410,804352,756147,631226,359978,247540,5595063,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Total,,,,,,,,,,,,,,,,,,,,,,,,,
Casual,45.20%,,,,,,,,,,,,,,,,,,,,,,,,,
Member,54.80%,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider,Classic,Docked,Electric,,Row Labels,Classic Bike,Docked Bike,Electric Bike,,,,,,,,,,,,,,,,,,
Casual,1266657,312342,950006,,Casual,1266657,312342,950006,,,,,,,,,,,,,,,,,,
Member,1717553,1,1081686,,Member,1717553,1,1081686,,,,,,,,,,,,,,,,,,
,,,,,Grand Total,2984210,312343,2031692,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Rider/Month,1,2,3,4,5,6,7,8,9,10,11,12,Total,,,,,,,,,,,,,
Casual,0:25:41,0:49:22,0:38:10,0:38:01,0:38:14,0:37:07,0:32:47,0:28:47,0:27:49,0:28:40,0:23:07,0:23:30,0:32:36,,,,,,,,,,,,,
Member,0:12:52,0:18:01,0:13:58,0:14:41,0:14:38,0:14:41,0:14:14,0:14:06,0:13:44,0:12:30,0:11:18,0:11:00,0:13:49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Casual,Member,,Row Labels,Casual Rider,Member Rider,,,,,,,,,,,,,,,,,,,,
1,0:37:36,0:15:42,,Sunday,0:37:36,0:15:42,,,,,,,,,,,,,,,,,,,,
2,0:31:11,0:13:42,,Monday,0:31:11,0:13:42,,,,,,,,,,,,,,,,,,,,
3,0:29:07,0:13:03,,Tuesday,0:29:07,0:13:03,,,,,,,,,,,,,,,,,,,,
4,0:27:48,0:13:07,,Wednesday,0:27:48,0:13:07,,,,,,,,,,,,,,,,,,,,
5,0:25:56,0:12:48,,Thursday,0:25:56,0:12:48,,,,,,,,,,,,,,,,,,,,
6,0:31:50,0:13:24,,Friday,0:31:50,0:13:24,,,,,,,,,,,,,,,,,,,,
7,0:35:59,0:15:17,,Saturday,0:35:59,0:15:17,,,,,,,,,,,,,,,,,,,,
,,,,Grand Total,0:31:21,0:13:52,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Casual,Member,,,,,,,,,,,,,,,,,,,,,,,,
1,459123,376142,,,,,,,,,,,,,,,,,,,,,,,,
2,286376,416212,,,,,,,,,,,,,,,,,,,,,,,,
3,274392,465513,,,,Type,1,2,3,4,5,6,7,,,,,,,,,,,,,
4,278950,477192,,,,casual,2864,2088,1882,2094,2348,2838,4003,,,Row Labels,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
5,286064,451524,,,,member,8872,11135,10569,11208,11968,12645,12320,,,casual,40095.25,23864.66667,22866,23245.83333,23838.66667,30340,46500,,,
6,364080,446428,,,,casual,1393,585,1007,1123,1042,1496,3485,,,member,31345.16667,34684.33333,38792.75,39766,37627,37202.33333,36087.25,,,
7,558000,433047,,,,member,3991,4005,5728,6613,6031,6594,6529,,,Grand Total,35720.20833,29274.5,30829.375,31505.91667,30732.83333,33771.16667,41293.625,,,
,,,,,,casual,17342,11990,10463,8883,5488,7777,22090,,,,,,,,,,,,,
,,,,,,member,18285,22835,23537,22786,15978,17880,23162,,,,,,,,,,,,,
,,,,,,casual,25196,16030,20377,11991,12350,22929,27728,,,,,,,,,,,,,
,,,,,,member,25157,27731,31849,25354,28086,35795,26657,,,,,,,,,,,,,
,,,,,,casual,62157,34421,18593,23163,22846,30429,65307,,,,,,,,,,,,,
Row Labels,Casual Rider,Member Rider,,,,member,42105,41580,33418,39433,35696,35790,46695,,,,,,,,,,,,,
Sunday,459123,376142,,,,casual,68928,35081,48073,48673,41421,52775,75730,,,,,,,,,,,,,
Monday,286376,416212,,,,member,44829,43862,61547,64853,49375,47867,46581,,,,,,,,,,,,,
Tuesday,274392,465513,,,,casual,69744,48316,45403,46552,56846,71968,103227,,,,,,,,,,,,,
Wednesday,278950,477192,,,,member,39746,46503,52383,53540,64429,64220,59533,,,,,,,,,,,,,
Thursday,286064,451524,,,,casual,86333,49834,47312,40026,46982,58483,83701,,,,,,,,,,,,,
Friday,364080,446428,,,,member,56425,60177,63611,52226,54685,53203,51354,,,,,,,,,,,,,
Saturday,558000,433047,,,,casual,68661,43447,31822,45089,50634,49902,74335,,,,,,,,,,,,,
Grand Total,2506985,3066058,,,,member,46641,49180,52000,70055,71526,53043,49812,,,,,,,,,,,,,
,,,,,,casual,52642,22052,27082,26859,22329,39531,66747,,,,,,,,,,,,,
,,,,,,member,48138,41663,57564,57726,47121,59796,61976,,,,,,,,,,,,,
,,,,,,casual,17446,14799,16139,13793,11192,12998,20562,,,,,,,,,,,,,
,,,,,,member,26557,45056,51160,39360,31448,30111,29357,,,,,,,,,,,,,
,,,,,,casual,8437,7733,6239,10704,12586,12954,11085,,,,,,,,,,,,,
,,,,,,member,15396,22485,22147,34038,35181,29484,19071,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Day,Casual,Member,,Row Labels,Average of Casual,Average of Member,,,,,,,,,,,,,,,,,,,,
1,40095.25,31345.16667,,Sunday,40095.25,31345.16667,,,,,,,,,,,,,,,,,,,,
2,23864.66667,34684.33333,,Monday,23864.66667,34684.33333,,,,,,,,,,,,,,,,,,,,
3,22866,38792.75,,Tuesday,22866,38792.75,,,,,,,,,,,,,,,,,,,,
4,23245.83333,39766,,Wednesday,23245.83333,39766,,,,,,,,,,,,,,,,,,,,
5,23838.66667,37627,,Thursday,23838.66667,37627,,,,,,,,,,,,,,,,,,,,
6,30340,37202.33333,,Friday,30340,37202.33333,,,,,,,,,,,,,,,,,,,,
7,46500,36087.25,,Saturday,46500,36087.25,,,,,,,,,,,,,,,,,,,,
,,,,Grand Total,30107.20238,36500.69048,,,,,,,,,,,,,,,,,,,,
